-0.39998,5.8181
-0.39198,5.7704
-0.38398,5.7508
-0.37597,5.7136
-0.36797,5.6387
-0.35997,5.6298
-0.35196,5.5606
-0.34396,5.5169
-0.33596,5.4808
-0.32796,5.5006
-0.31993,5.413
-0.31193,5.4104
-0.30392,5.3685
-0.29592,5.3448
-0.28792,5.2933
-0.27992,5.2998
-0.27191,5.2473
-0.26391,5.1987
-0.25591,5.184
-0.24791,5.1694
-0.23992,5.0968
-0.23192,5.0574
-0.22392,5.0902
-0.21593,5.0876
-0.20793,5.0161
-0.19994,4.9617
-0.19195,4.9512
-0.18395,4.9265
-0.17596,4.8903
-0.16796,4.85
-0.15993,4.8151
-0.15193,4.8092
-0.14394,4.7645
-0.13594,4.725
-0.12795,4.7031
-0.11994,4.6651
-0.11194,4.6993
-0.10394,4.6295
-0.095935,4.5744
-0.087929,4.5459
-0.079925,4.5431
-0.071922,4.4704
-0.063921,4.4048
-0.055926,4.3782
-0.047925,4.3501
-0.039921,4.3116
-0.031918,4.2655
-0.023911,4.2368
-0.01591,4.2011
-0.0079051,4.1835
0.00013062,4.0956
0.0080499,4.0274
0.016053,4.0214
0.024053,3.9636
0.032056,3.9042
0.04006,3.8666
0.048061,3.8145
0.056064,3.7603
0.064062,3.6963
0.072065,3.6744
0.080067,3.6559
0.088069,3.5571
0.096105,3.47
0.10411,3.4093
0.11211,3.3625
0.12011,3.2823
0.12812,3.2136
0.13611,3.134
0.14411,3.0472
0.1521,2.9573
0.1601,2.8473
0.1681,2.747
0.17609,2.6179
0.18409,2.5079
0.19209,2.3455
0.20008,2.1745
0.20807,1.9825
0.21607,1.7484
0.22406,1.4859
0.23206,1.1822
0.24005,0.83445
0.24805,0.43844
0.25605,-0.016744
0.26405,-0.59176
0.27205,-1.2291
0.28005,-1.9909
0.28805,-2.8354
0.29605,-3.8642
0.30406,-5.0336
0.31206,-6.3875
0.3201,-7.9917
0.3281,-9.8381
0.3361,-12.015
0.3441,-14.556
0.3521,-17.354
0.3601,-20.9
0.3681,-24.74
0.37611,-29.297
0.38411,-34.671
0.39211,-41.005
0.40011,-48.293
